,BranchCode,LoanTerm,Gender,HomeType,FamilyMember,TotalWealth,PrincipalLoan,Frequency,PurposeCode,Self_Employed,DFS_Status,Deposit,Withdrawal,Balance,duedays,DueType,LoanStatus,Unnamed: 17,Unnamed: 18,Unnamed: 19
0,80,1,0,0,4,46,500000,0,10.55,2,1,0,0,0,180,3,0,,,
1,80,3,0,2,5,1,70000,2,1.29,2,1,0,0,0,0,2,0,,,
2,80,2,0,2,5,1,40000,2,1.64,2,1,0,0,0,0,2,0,,,
3,80,1,0,2,5,46,200000,0,1.133,2,1,0,0,0,660,0,0,,,
4,80,2,0,3,6,46,60000,2,1.152,2,1,0,0,0,0,2,0,,,
5,80,3,0,3,6,46,100000,2,1.5,2,1,0,0,0,0,2,0,,,
6,80,2,0,2,3,32,100000,2,1.197,2,1,0,0,0,90,3,0,,,
7,80,3,0,2,3,32,200000,0,1.1,2,1,0,0,0,90,3,0,,,
8,80,1,0,3,5,1,20000,2,1.5,2,1,0,0,0,0,2,0,,,
9,80,2,0,3,5,1,100000,0,1.5,2,1,0,0,0,0,2,0,,,
10,80,1,1,3,5,1,50000,2,5.152,1,1,6500,0,6586,77,3,0,,,
11,80,1,1,3,5,1,50000,2,10.63,1,1,6500,0,6586,77,3,0,,,
12,80,2,0,3,5,1,100000,0,5.152,2,0,0,0,0,0,2,0,,,
13,80,1,0,3,5,1,100000,0,1.156,2,0,0,0,0,0,2,0,,,
14,80,2,0,3,5,1,200000,0,1.194,2,0,0,0,0,0,2,0,,,
15,80,2,0,1,5,1,100000,0,10.154,2,1,0,0,0,30,4,0,,,
16,80,1,0,1,5,1,50000,2,10.158,2,1,0,0,0,30,4,0,,,
17,80,2,0,3,5,1,500000,0,10.63,2,1,0,0,0,0,2,0,,,
18,80,1,0,3,5,1,200000,0,10.63,2,1,0,0,0,0,2,0,,,
19,80,3,0,2,5,46,50000,2,1.1,2,1,0,0,0,0,2,0,,,
20,80,1,0,2,5,46,20000,2,1.1,2,1,0,0,0,0,2,0,,,
21,80,2,0,2,5,46,30000,2,1.1,2,1,0,0,0,0,2,0,,,
22,80,1,0,2,3,1,10000,2,1.195,2,1,0,0,0,0,2,0,,,
23,80,3,0,0,13,1,100000,2,10.63,2,1,0,0,0,0,2,0,,,
24,80,1,0,0,13,1,100000,2,11.132,2,1,0,0,0,0,2,0,,,
25,80,2,0,0,13,1,100000,2,10.63,2,1,0,0,0,0,2,0,,,
26,80,2,0,2,4,1,50000,2,1.156,2,1,0,0,0,0,2,0,,,
27,80,2,0,3,4,28,50000,2,1.197,2,0,0,0,0,147,3,0,,,
28,80,1,0,3,4,28,60000,2,10.177,2,0,0,0,0,147,3,0,,,
29,80,3,0,3,4,28,50000,2,1.197,2,0,0,0,0,147,3,0,,,
30,80,1,0,3,4,46,20000,2,1.5,2,1,0,0,0,0,2,0,,,
31,80,2,0,1,2,1,500000,0,5.152,2,0,0,0,0,120,3,0,,,
32,80,1,0,1,2,1,250000,0,1.197,2,0,0,0,0,120,3,0,,,
33,80,1,0,3,3,1,100000,0,1.152,2,1,6500,0,6568,150,3,0,,,
34,80,1,0,3,2,1,50000,2,1.5,2,1,0,0,0,0,2,0,,,
35,80,3,0,0,3,46,100000,0,1.22,2,1,5500,0,5540,150,3,0,,,
36,80,2,0,0,3,46,50000,2,1.3,2,1,5500,0,5540,150,3,0,,,
37,80,1,0,2,3,46,30000,2,9.218,2,0,0,0,0,7,4,0,,,
38,80,1,0,0,2,1,50000,2,10.33,2,1,0,0,0,0,2,0,,,
39,80,2,0,0,2,1,80000,2,10.33,2,1,0,0,0,0,2,0,,,
40,80,1,0,3,3,1,45000,2,1.185,2,1,0,0,0,0,2,0,,,
41,80,2,0,3,3,1,30000,2,10.132,2,1,0,0,0,0,2,0,,,
42,80,1,0,3,3,1,15000,2,10.143,2,1,0,0,0,0,2,0,,,
43,80,2,0,2,2,1,400000,0,5.152,2,0,0,0,0,150,3,0,,,
44,80,2,0,2,2,1,200000,0,5.197,2,1,11000,0,11231,90,3,0,,,
45,80,1,0,3,2,1,150000,0,5.152,2,1,0,0,0,0,2,0,,,
46,80,2,0,3,2,1,300000,0,5.152,2,1,0,0,0,0,2,0,,,
47,80,3,0,1,3,46,50000,2,1.1,2,1,0,0,0,7,4,0,,,
48,80,2,0,1,3,46,45000,2,1.77,2,1,0,0,0,7,4,0,,,
49,80,1,0,0,2,46,100000,2,10.63,2,1,0,0,0,0,2,0,,,
50,80,1,0,0,2,46,100000,2,1.5,2,1,0,0,0,0,2,0,,,
51,80,1,0,3,3,46,50000,2,9.219,2,1,0,0,0,0,2,0,,,
52,80,1,0,3,2,46,70000,0,10.63,2,1,0,0,0,0,2,0,,,
53,80,2,0,3,2,46,200000,0,10.63,2,1,0,0,0,0,2,0,,,
54,80,1,0,3,2,46,100000,0,10.63,2,1,0,0,0,0,2,0,,,
55,80,2,0,2,4,46,100000,2,1.197,2,0,0,0,0,0,2,0,,,
56,80,1,0,2,4,46,40000,2,10.33,2,0,0,0,0,0,2,0,,,
57,80,1,0,2,4,46,70000,2,1.1,2,0,0,0,0,0,2,0,,,
58,80,1,0,3,2,1,20000,2,1.139,2,1,0,0,0,0,2,0,,,
59,80,1,0,3,2,1,75000,2,10.189,2,1,0,0,0,0,2,0,,,
60,80,1,0,0,4,1,100000,2,1.156,2,1,65300,48000,18994,180,3,0,,,
61,80,1,0,0,4,1,200000,0,10.111,2,1,65300,48000,18994,180,3,0,,,
62,80,2,0,2,5,46,200000,0,5.152,2,1,14365,0,14908,30,4,0,,,
63,80,1,0,2,5,46,100000,0,1.152,2,1,14365,0,14908,30,4,0,,,
